52	12
0	0	0.2	0.3	0.4	0.5	0.6	0.7	0.75	0.8	0.9	1
-180	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234
-175	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302
-170	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452
-165	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786
-160	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186
-140	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938
-120	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353
-110	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868
-100	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092
-90	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574
-80	1.519	1.519	1.519	1.519	1.519	1.519	1.519	1.519	1.519	1.519	1.519
-70	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166	1.4166
-60	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855	1.2855
-50	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439	1.1439
-40	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937	0.9937
-30	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196	0.8196
-6	0.0087	0.0087	0.0087	0.0261	0.0427	0.0593	0.0759	0.0842	0.1138	0.1778	0.2418
-5	0.0085	0.0085	0.0085	0.0173	0.0266	0.0397	0.0568	0.0663	0.0971	0.1611	0.2251
-4	0.0085	0.0085	0.0085	0.0085	0.0104	0.0201	0.0378	0.0485	0.0805	0.1445	0.2085
-3	0.0085	0.0085	0.0085	0.0085	0.0087	0.0094	0.016	0.0267	0.0587	0.1227	0.1867
-2	0.0085	0.0085	0.0085	0.0085	0.0085	0.0086	0.012	0.024	0.056	0.12	0.184
-1	0.0085	0.0085	0.0085	0.0085	0.0085	0.0085	0.01	0.0233	0.0553	0.1193	0.1833
0	0.0085	0.0085	0.0085	0.0085	0.0085	0.0085	0.0124	0.038	0.07	0.134	0.198
1	0.0085	0.0085	0.0085	0.0085	0.0085	0.0085	0.0205	0.053	0.0856	0.1507	0.2158
2	0.0085	0.0085	0.0085	0.0085	0.0085	0.0085	0.0376	0.0696	0.1016	0.1656	0.2296
3	0.0085	0.0085	0.0085	0.0085	0.0085	0.0088	0.0504	0.0824	0.1144	0.1784	0.2424
4	0.0085	0.0085	0.0085	0.0088	0.0089	0.0096	0.0632	0.0952	0.1272	0.1912	0.2552
5	0.0087	0.0087	0.0087	0.0093	0.01	0.0118	0.0758	0.1078	0.1398	0.2038	0.2678
6	0.0088	0.0088	0.0088	0.0099	0.0101	0.031	0.095	0.127	0.159	0.223	0.287
7	0.0093	0.0093	0.0093	0.0101	0.0109	0.0489	0.1129	0.1449	0.1769	0.2409	0.3049
8	0.0098	0.0098	0.0098	0.0119	0.0148	0.065	0.129	0.161	0.193	0.257	0.321
9	0.0125	0.0125	0.0125	0.0131	0.0344	0.0784	0.1424	0.1744	0.2064	0.2704	0.3344
10	0.015	0.015	0.015	0.015	0.0348	0.0988	0.1628	0.1948	0.2268	0.2908	0.3548
11	0.017	0.017	0.017	0.0174	0.0814	0.1454	0.2094	0.2414	0.2734	0.3374	0.4014
12	0.0194	0.0194	0.0194	0.0815	0.1455	0.2095	0.2735	0.3055	0.3375	0.4015	0.4655
13	0.05	0.05	0.05	0.1143	0.1786	0.2429	0.3071	0.3393	0.3714	0.4357	0.5
30	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039	0.7039
50	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907	1.0907
60	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475	1.2475
70	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941	1.3941
80	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117	1.5117
90	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574	1.5574
100	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092	1.5092
110	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868	1.3868
120	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353	1.2353
140	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938	0.8938
160	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186	0.3186
165	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786	0.0786
170	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452	0.0452
175	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302
180	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234	0.0234




										
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
